university,year,rank,state,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9
Pepperdine University,2026,84.0,CA,0.5516045093536377,0.0,0.0,0.0,0.0,0.4469614326953888,0.0,0.0,0.0,0.0
University of Illinois Chicago,2025,80.0,IL,0.0,0.0,0.0,0.0,0.0,0.9957422614097595,0.0,0.0,0.0,0.0
Worcester Polytechnic Institute,2023,67.0,MA,0.0,0.0,0.5988149046897888,0.0,0.0,0.0,0.14096039533615112,0.0,0.25480252504348755,0.0
Yeshiva University,2026,84.0,NY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5728101134300232,0.425419420003891
University of California Santa Cruz,2026,88.0,CA,0.0,0.0,0.0,0.0,0.0,0.9975413680076599,0.0,0.0,0.0,0.0
Howard University,2026,88.0,DC,0.0,0.0,0.0,0.0,0.0,0.903073787689209,0.0,0.0,0.09265797585248947,0.0
Marquette University,2026,88.0,WI,0.048248354345560074,0.0,0.0,0.0,0.0,0.76044100522995,0.19032445549964905,0.0,0.0,0.0
University of Delaware,2026,88.0,DE,0.0,0.2134537696838379,0.0,0.0,0.0,0.0,0.08052486926317215,0.0,0.7049537301063538,0.0
American University,2026,88.0,DC,0.0,0.0,0.08620123565196991,0.0,0.0,0.8336580395698547,0.0,0.0,0.0,0.077424056828022
Baylor University,2026,88.0,TX,0.0,0.0,0.0,0.2998356819152832,0.0,0.6973043084144592,0.0,0.0,0.0,0.0
Rochester Institute of Technology,2025,91.0,NY,0.3862738609313965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6117607355117798,0.0
Rochester Institute of Technology,2026,88.0,NY,0.0,0.9993593692779541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southern Methodist University,2026,88.0,TX,0.010574378073215485,0.0,0.0,0.0,0.0,0.7291783690452576,0.2594791352748871,0.0,0.0,0.0
University of South Florida,2026,88.0,FL,0.2418341338634491,0.0,0.0,0.0,0.0,0.5740547776222229,0.0,0.17419034242630005,0.0,0.0
Fordham University,2026,97.0,NY,0.1417664885520935,0.039539892226457596,0.0,0.1227431446313858,0.0,0.6951742172241211,0.0,0.0,0.0,0.0
Florida International University,2025,98.0,FL,0.0,0.31995388865470886,0.0,0.0,0.0,0.0,0.677971601486206,0.0,0.0,0.0
Rutgers University Camden,2026,97.0,NJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9929524064064026,0.0
Texas Christian University,2026,97.0,TX,0.0,0.0,0.0,0.0,0.0,0.8384075164794922,0.0,0.0,0.0,0.15451833605766296
Gonzaga University,2026,102.0,WA,0.12163734436035156,0.0,0.0,0.0,0.0,0.468459814786911,0.40854841470718384,0.0,0.0,0.0
Temple University,2024,89.0,PA,0.25708508491516113,0.0,0.04079732671380043,0.0,0.0,0.0935630351305008,0.607689619064331,0.0,0.0,0.0
University of Iowa,2026,102.0,IA,0.0,0.0,0.0,0.9953581690788269,0.0,0.0,0.0,0.0,0.0,0.0
Auburn University,2026,102.0,AL,0.06039655581116676,0.0,0.0,0.0,0.0,0.6198549270629883,0.3190038800239563,0.0,0.0,0.0
Saint Louis University,2026,102.0,MZ,0.0,0.0,0.0,0.0,0.0,0.5402569770812988,0.0,0.0,0.37684738636016846,0.08243069797754288
University of Missouri Columbia,2023,121.0,MZ,0.0,0.03454088047146797,0.0,0.9635205864906311,0.0,0.0,0.0,0.0,0.0,0.0
University of Missouri Columbia,2026,102.0,MZ,0.0,0.0,0.0,0.0,0.0,0.2933948338031769,0.2949298024177551,0.0,0.41001659631729126,0.0
University of Tennessee Knoxville,2024,105.0,TN,0.6697626113891602,0.0,0.0,0.32787036895751953,0.0,0.0,0.0,0.0,0.0,0.0
Brigham Young University,2023,89.0,UT,0.0,0.0,0.0,0.39783957600593567,0.1292295604944229,0.4699832499027252,0.0,0.0,0.0,0.0
Brigham Young University,2026,110.0,UT,0.0,0.0,0.0,0.0,0.0,0.45996856689453125,0.5349065661430359,0.0,0.0,0.0
University of Oregon,2025,109.0,OR,0.2268180400133133,0.7622117400169373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University of San Diego,2024,98.0,CA,0.0,0.0,0.0,0.05314482003450394,0.0,0.7933551073074341,0.15250645577907562,0.0,0.0,0.0
University of Texas Dallas,2025,109.0,TX,0.0,0.0,0.0,0.0,0.9971795678138733,0.0,0.0,0.0,0.0,0.0
Chapman University,2026,110.0,CA,0.0,0.0,0.06001187488436699,0.0,0.0,0.47985604405403137,0.45913031697273254,0.0,0.0,0.0
University of Oklahoma,2025,132.0,OK,0.49433815479278564,0.0,0.03162800148129463,0.28121304512023926,0.0,0.1440126895904541,0.04861610010266304,0.0,0.0,0.0
Illinois Institute of Technology,2025,105.0,IL,0.20277829468250275,0.0,0.0,0.7529986500740051,0.0,0.021313171833753586,0.0,0.0,0.02198985032737255,0.0
George Mason University,2026,117.0,VA,0.0,0.0,0.0,0.0,0.0,0.9989791512489319,0.0,0.0,0.0,0.0
San Diego State University,2025,109.0,CA,0.6753228306770325,0.0,0.0,0.0,0.0,0.26950767636299133,0.028018737211823463,0.0,0.0,0.022446995601058006
University of New Hampshire,2026,117.0,NH,0.0,0.0,0.0,0.0,0.0,0.9984037280082703,0.0,0.0,0.0,0.0
California State University Long Beach,2026,127.0,CA,0.0,0.0,0.0,0.0,0.0,0.27547821402549744,0.0,0.0,0.7176476716995239,0.0
University of South Carolina,2026,127.0,SC,0.0,0.0,0.0,0.99964439868927,0.0,0.0,0.0,0.0,0.0,0.0
University of Maryland Baltimore County,2025,144.0,MD,0.21889524161815643,0.0,0.0,0.0,0.0,0.7804373502731323,0.0,0.0,0.0,0.0
University of Vermont,2026,132.0,VT,0.0,0.0,0.0,0.9960068464279175,0.0,0.0,0.0,0.0,0.0,0.0
California State University Fullerton,2026,132.0,CA,0.0,0.0,0.0,0.5459245443344116,0.0,0.452465295791626,0.0,0.0,0.0,0.0
Clark University,2024,142.0,MA,0.0,0.9973503947257996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loyola University Chicago,2026,132.0,IL,0.02097734436392784,0.024439994245767593,0.0,0.21257324516773224,0.0,0.7416978478431702,0.0,0.0,0.0,0.0
Virginia Commonwealth University,2024,142.0,VA,0.06852991133928299,0.0,0.0,0.3156163692474365,0.0,0.6153729557991028,0.0,0.0,0.0,0.0
Colorado State University,2026,,CO,0.0,0.1970958709716797,0.0,0.80085688829422,0.0,0.0,0.0,0.0,0.0,0.0
James Madison University,2025,148.0,VA,0.1819249987602234,0.0,0.0,0.0,0.0,0.32331418991088867,0.25935569405555725,0.0,0.05433676019310951,0.18053512275218964
University of St.Thomas Minnesota,2026,,MN,0.4280540645122528,0.0,0.0,0.41331860423088074,0.0,0.1572447270154953,0.0,0.0,0.0,0.0
Illinois State University,2023,,IL,0.0,0.0,0.0,0.10562825202941895,0.0,0.8939074277877808,0.0,0.0,0.0,0.0
Illinois State University,2026,,IL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974613189697266,0.0,0.0
Seattle University,2026,,WA,0.18261216580867767,0.0,0.0,0.21010923385620117,0.0,0.6068890690803528,0.0,0.0,0.0,0.0
University of Rhode Island,2026,,RI,0.0,0.0,0.0,0.0,0.0,0.6490270495414734,0.34828412532806396,0.0,0.0,0.0
University of Massachusetts Lowell,2026,,,0.0,0.0,0.0,0.0,0.0,0.9969290494918823,0.0,0.0,0.0,0.0
University of Louisville,2026,,KY,0.3325332701206207,0.0,0.0,0.0,0.0,0.665749728679657,0.0,0.0,0.0,0.0
Rowan University,2026,,NJ,0.0,0.0,0.0,0.6167197227478027,0.0,0.0,0.0,0.0,0.0,0.38229620456695557
University of Hawaii Manoa,2026,,HI,0.0,0.4254245460033417,0.0,0.25467240810394287,0.0,0.31699249148368835,0.0,0.0,0.0,0.0
Wayne State University,2026,,MI,0.0,0.0,0.0,0.3509972095489502,0.0,0.033155281096696854,0.4799421727657318,0.0,0.13524384796619415,0.0
California State University Fresno,2026,,CA,0.0,0.0,0.0,0.12399479746818542,0.0,0.8749901056289673,0.0,0.0,0.0,0.0
Florida Atlantic University,2024,,FL,0.0,0.0,0.0,0.33001020550727844,0.0,0.6690002679824829,0.0,0.0,0.0,0.0
University of Detroit Mercy,2026,,MI,0.0,0.0,0.0,0.0,0.7327775955200195,0.26546144485473633,0.0,0.0,0.0,0.0
University of Idaho,2026,,ID,0.15823204815387726,0.0,0.0,0.0,0.0,0.08133761584758759,0.6048358678817749,0.0,0.15338942408561707,0.0
East Carolina University,2026,,NC,0.0,0.0,0.0,0.0,0.0,0.0,0.5133616924285889,0.0,0.0,0.4855097532272339
Indiana University Indianapolis,2026,,IN,0.0,0.054439034312963486,0.0,0.2314906120300293,0.0,0.0,0.051432665437459946,0.0,0.0,0.6614996194839478
University of Nevada Reno,2026,,NV,0.0,0.0,0.0,0.0,0.0,0.5857205986976624,0.41351351141929626,0.0,0.0,0.0
Georgia State University,2026,,,0.0,0.0,0.0,0.0,0.0,0.0,0.9970598816871643,0.0,0.0,0.0
University of North Carolina Greensboro,2026,,,0.03151392564177513,0.0,0.0,0.4141949713230133,0.0,0.14715182781219482,0.40699049830436707,0.0,0.0,0.0
University of North Carolina Wilmington,2026,,,0.0,0.07740139216184616,0.0,0.3833049535751343,0.25033050775527954,0.14738896489143372,0.01934245228767395,0.0,0.1219887062907219,0.0
Valparaiso University,2026,,,0.0,0.5934131145477295,0.0,0.404306560754776,0.0,0.0,0.0,0.0,0.0,0.0
