university,year,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9
Clemson University,2025,0.19542915,0.08634907,0.034921423,0.035271443,0.112840004,0.19244736,0.21838361,0.12435788,0.0,0.0
Colorado School of Mines,2023,0.041987035,0.08609375,0.03216392,0.3084952,0.10543617,0.064238526,0.18804654,0.17353825,0.0,0.0
Stevens Institute of Technology,2025,0.22345197,0.34076723,0.022755377,0.029219428,0.097267054,0.11654517,0.12788741,0.042105254,0.0,0.0
New Jersey Institute of Technology,2026,0.014511043,0.13994253,0.026110295,0.043113247,0.22620773,0.12825394,0.28198153,0.13987929,0.0,0.0
Pepperdine University,2026,0.040659737,0.17403848,0.023169836,0.35215333,0.16378014,0.07125507,0.03756249,0.1373812,0.0,0.0
University of Illinois Chicago,2025,0.09794094,0.08215061,0.16841649,0.08434128,0.07533455,0.15296274,0.051528867,0.28732398,0.0,0.0
Worcester Polytechnic Institute,2023,0.09162285,0.008328508,0.11094297,0.0010771798,0.15663235,0.009478769,0.04381715,0.5781003,0.25480252504348755,0.0
Yeshiva University,2026,0.4500098,0.044224154,0.07783745,0.030816268,0.09810508,0.18114768,0.0424836,0.075376585,0.5728101134300232,0.425419420003891
University of California Santa Cruz,2026,0.21394885,0.041533947,0.1674517,0.050953712,0.22591607,0.028461749,0.021538684,0.25019506,0.0,0.0
Howard University,2026,0.073493555,0.2372072,0.025329461,0.0754936,0.1617607,0.15440997,0.112243704,0.16005944,0.09265797585248947,0.0
Marquette University,2026,0.19166455,0.06915973,0.098011814,0.09981412,0.07233533,0.26660436,0.071914025,0.130495,0.0,0.0
University of Delaware,2026,0.1859199,0.10844605,0.08374857,0.066835344,0.07762703,0.248388,0.13872159,0.09030853,0.7049537301063538,0.0
American University,2026,0.14939807,0.021164862,0.102480605,0.08558667,0.23293053,0.1720371,0.075153485,0.16124819,0.0,0.077424056828022
Baylor University,2026,0.103666395,0.15641028,0.07025293,0.1735735,0.15365708,0.13079146,0.052892208,0.15875468,0.0,0.0
Rochester Institute of Technology,2025,0.11900194,0.17650385,0.04864456,0.17898934,0.050389435,0.05803244,0.16388828,0.2045505,0.6117607355117798,0.0
Rochester Institute of Technology,2026,0.027066309,0.10521642,0.042265076,0.090006545,0.17132205,0.12577027,0.2686849,0.16966197,0.0,0.0
Southern Methodist University,2026,0.22636656,0.07920993,0.08130009,0.06026004,0.14948443,0.18166536,0.08931817,0.13239597,0.0,0.0
University of South Florida,2026,0.10452626,0.069370285,0.08773555,0.12155516,0.17043217,0.08813566,0.13358934,0.22465463,0.0,0.0
Fordham University,2026,0.050002635,0.24476229,0.11415855,0.04469209,0.20137218,0.05169986,0.09674008,0.19657284,0.0,0.0
Florida International University,2025,0.20760742,0.05137098,0.0785413,0.2902635,0.10523631,0.15592067,0.080467865,0.03059131,0.0,0.0
Rutgers University Camden,2026,0.28578416,0.022017753,0.006719234,0.0059336987,0.10151923,0.06682713,0.2113394,0.29985785,0.9929524064064026,0.0
Texas Christian University,2026,0.22115356,0.05975111,0.058581095,0.15888362,0.13811128,0.16416064,0.061175674,0.13818198,0.0,0.15451833605766296
Gonzaga University,2026,0.27606735,0.077801056,0.030778484,0.028580358,0.16684079,0.097937584,0.06971601,0.25227776,0.0,0.0
Temple University,2024,0.14940202,0.0546945,0.18577266,0.12797369,0.124816984,0.26569685,0.07170486,0.01993822,0.0,0.0
