university,year,state,rank,IPEDS,policy_typology,token_count,restrictive_count,innovation_count,admin_count,faculty_count,restrictive_density,innovation_density,admin_density,faculty_density,max_density,second_density,density_gap
University of Rochester,2024,NY,47.0,195030.0,Innovation-Forward,2234,7,14,1,0,0.003133393017009848,0.006266786034019696,0.0004476275738585497,0.0,0.006266786034019696,0.003133393017009848,0.003133393017009848
Purdue University,2025,IN,46.0,243780.0,Innovation-Forward,1584,13,21,2,1,0.008207070707070708,0.013257575757575758,0.0012626262626262627,0.0006313131313131314,0.013257575757575758,0.008207070707070708,0.00505050505050505
University of Georgia,2025,GA,46.0,139959.0,Innovation-Forward,842,1,5,5,0,0.0011876484560570072,0.0059382422802850355,0.0059382422802850355,0.0,0.0059382422802850355,0.0059382422802850355,0.0
Northeastern University,2025,MA,54.0,167358.0,Administrative Risk-Management,664,1,0,6,0,0.0015060240963855422,0.0,0.009036144578313253,0.0,0.009036144578313253,0.0015060240963855422,0.007530120481927711
Texas A&M University College Station,2025,TX,51.0,228723.0,Innovation-Forward,2291,16,24,8,0,0.006983849847228284,0.010475774770842427,0.003491924923614142,0.0,0.010475774770842427,0.006983849847228284,0.003491924923614142
George Washington University,2023,DC,62.0,131469.0,Restrictive / Compliance-Driven,1203,18,3,0,0,0.014962593516209476,0.0024937655860349127,0.0,0.0,0.014962593516209476,0.0024937655860349127,0.012468827930174564
Pennsylvania State University University Park,2026,PA,59.0,214777.0,Innovation-Forward,1612,2,13,1,0,0.0012406947890818859,0.008064516129032258,0.0006203473945409429,0.0,0.008064516129032258,0.0012406947890818859,0.006823821339950372
North Carolina State University,2026,NC,64.0,199193.0,Administrative Risk-Management,416,0,0,1,0,0.0,0.0,0.002403846153846154,0.0,0.002403846153846154,0.0,0.002403846153846154
University of Massachusetts Amherst,2026,MA,64.0,166629.0,Innovation-Forward,899,2,9,1,1,0.002224694104560623,0.010011123470522803,0.0011123470522803114,0.0011123470522803114,0.010011123470522803,0.002224694104560623,0.00778642936596218
Michigan State University,2026,MI,64.0,171100.0,Innovation-Forward,4208,23,40,8,0,0.005465779467680608,0.009505703422053232,0.0019011406844106464,0.0,0.009505703422053232,0.005465779467680608,0.004039923954372623
Brandeis University,2025,MA,63.0,165015.0,Restrictive / Compliance-Driven,626,6,6,6,0,0.009584664536741214,0.009584664536741214,0.009584664536741214,0.0,0.009584664536741214,0.009584664536741214,0.0
University of Pittsburgh,2026,PA,,215293.0,Innovation-Forward,804,2,3,1,0,0.0024875621890547263,0.0037313432835820895,0.0012437810945273632,0.0,0.0037313432835820895,0.0024875621890547263,0.0012437810945273632
Binghamton University,2025,NY,73.0,196079.0,Innovation-Forward,210,3,4,2,0,0.014285714285714285,0.01904761904761905,0.009523809523809525,0.0,0.01904761904761905,0.014285714285714285,0.004761904761904764
Syracuse University,2026,NY,75.0,196413.0,Restrictive / Compliance-Driven,573,4,2,4,0,0.006980802792321117,0.0034904013961605585,0.006980802792321117,0.0,0.006980802792321117,0.006980802792321117,0.0
University of Buffalo,2024,NY,76.0,196088.0,Innovation-Forward,973,4,6,2,0,0.0041109969167523125,0.006166495375128468,0.0020554984583761563,0.0,0.006166495375128468,0.0041109969167523125,0.002055498458376156
University of California Riverside,2025,CA,76.0,110671.0,Innovation-Forward,1049,5,11,1,0,0.004766444232602479,0.010486177311725452,0.0009532888465204957,0.0,0.010486177311725452,0.004766444232602479,0.005719733079122973
Clemson University,2025,SC,80.0,217882.0,Restrictive / Compliance-Driven,944,5,3,5,0,0.005296610169491525,0.0031779661016949155,0.005296610169491525,0.0,0.005296610169491525,0.005296610169491525,0.0
Colorado School of Mines,2023,CO,89.0,126775.0,Restrictive / Compliance-Driven,1307,23,14,0,0,0.017597551644988524,0.010711553175210406,0.0,0.0,0.017597551644988524,0.010711553175210406,0.006885998469778118
